Number,Country,Detailed Locations ,Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Type,Main cause,Severity index,flooded area,Affected sq km,peak discharge Q,Peak Water level h,Magnitude (M)**,Centroid X,Centroid Y,Notes and Comments (may include quoted headlines from copyrighted news stories; for internal research purposes only),map of flood extent
58,France,Southeastern France,41956,41959,4,5,0,,riverine flood,Heavy Rain,1.5,,36709.07,,,5.34292463246365,5.09507,44.2452,"November 14, 2014: ""Five people have been killed and two are missing after torrential rains caused flooding in southern France.Four of the victims were camping when the campsite was washed away by flash floods in Lamalou-les-Bains.A fifth, a elderly woman, fell from a bridge into a raging river in Arnac.More than 400 firefighters, backed by police are at work helping the communities hit hardest by the flooding. Parts of southern France are experiencing intense storms and more rain is expected in the Languedoc-Roussillon, Herault and Gard regions.",
59,France,"Southeastern France, western France, Pisa, Liguria, northwestern Italy ",41659,41677,19,4,1000,,riverine flood,Heavy Rain,1.5,,82989.45,,,6.37386774638456,7.0993,43.9958,"January 30, 2014: ""Areas of Italy and France are on flood alert as heavy rain brings chaos to parts of Europe.Hundreds of people were forced to evacuate their homes in the Italian city of Pisa as the Arno river threatened to burst its banks on Friday.High seas are expected to cause widespread flooding along France's Atlantic coast.Meanwhile, deep snow drifts left dozens of people stranded in Serbia.Local officials declared a state of emergency and deployed rescue teams to help travellers trapped in their vehicles. Snow storms and strong winds have been sweeping across Eastern Europe.People stand on a bridge over the Arno river whose level rose following heavy rain over Pisa, on 31 January, 2014 The Arno river in Pisa threatened to burst its banks
Houses in Landerneau, western France, are flooded by the Elorn river on 31 January 2014, Houses in Landerneau, western France, have been flooded by the Elorn riverAn aerial view shows a flooded area after heavy rains near Pisa in this... January 31, 2014 Parts of the countryside near Pisa are completely submergedItalian media said a stretch of medieval wall measuring about 30m (95ft) in the town of Volterra, in the province of Pisa, collapsed as a result of heavy rain.The French department of Finistere, in the west of the country, was placed on red alert as forecasters warned of huge waves and extensive flooding. Ten other French departments were also on alert for rising water levels.At least two people died and scores had to be airlifted to safety after floods hit south-eastern France earlier this month.Severe storms have been battering Europe for much of January. January 20, 2014: ""Torrential rainfall has flooded the French Riviera, leaving two people dead and one missing.
Officials said 4,000 homes in the department of Var in the southest of France have been left without power, and 150 people were airlifted to safety.
Local official Laurent Cayrel said one of the victims, a 73-year-old man, died in his basement, while the other was swept away in his car, both on Monday. The missing man was last seen on his boat.
Dozens of towns were closed across the region, which includes resorts such as Saint-Tropez and villages in Provence.
In the town of Hyeres, Mayor Jacques Politi spoke of ""a historic flood.""
Waters were reported to be receding early on Monday. French Prime Minister Jean-Marc Ayrault traveled to the area on Monday to inspect the damage.
Liguria awash
Several days of heavy rain have also caused floods and landslides in the northwestern coastal region of Liguria in Italy, where a 66-year-old doctor died after being washed away by floodwaters on his way to visit a patient.
Further inland, another man is missing near the city of Modena after he capsized in his rubber dinghy while trying to rescue people stranded by swirling waters there. Authorities have taken 600 residents in Modena to safety, media reported.
Last Friday, a train traveling to France derailed because of the floods. Two people were injured.
tj/mkg (dpa, AFP, AP)",
60,France,"Southwestern France, Perpignan",41342,41350,9,1,1200,,,Heavy Rain,1,,5910.43,,,4.7258615875852,2.54269,43.2579,"March 9, 2013: PERPIGNAN, France, (UPI)  A government minister declared a ""state of natural catastrophe"" after floods killed least one person and destroyed hundreds of homes in southwestern France.Ecology Minister Delphine Batho toured the area Thursday and Friday after the rains that caused the flooding subsided, Radio France Internationale said. She visited a factory that was under nearly 2 feet of water after the Agly River spilled over its banks.One woman was found dead when she ignored warning signs and attempted to ford a small road that had been covered in water outside Perpignan, France. She was found drowned in her car a few hundred yards downstream, officials said.
In all, about 750 people were evacuated.

",
61,France,Var Department in southern France,40345,40346,2,19,0,,flash flood,Torrential Rain,2,,7699.78,,,4.48853830790941,6.59134,43.4973,"June 16, 2010: ""France - Flash floods caused by torrential rain killed 19 people and left seven missing near France’s Mediterranean coast, an official said on Wednesday, after the worst downpours the region has seen since 1827.More than 350 mm (14 inches) of rain fell on the Var department in southern France in a few hours on Tuesday.The sub-prefect for the region said 19 people had died and seven others were missing.More than 1,000 people found refuge in schools and other buildings after their homes were swamped. Helicopters flew over 450 rescue missions and some 100,000 households were without electricity.“Draguignan was the worst-hit town, with hundreds of vehicles swept away and several neighbourhoods under water,” the local prefect Hugues Parant said.Interior Minister Brice Hortefeux said about 10 people were missing and he feared the death toll could rise.Television pictures showed scores of stranded people packed on the raised terrace of a holiday camp, with surrounding land and low-lying buildings submerged under muddy water.Locals said people were surprised by the speed at which the waters rose, turning streets into torrents and carrying away cars as if they were toys.“It was dramatic,” said Draguignan mayor Max Piselli. “The town is in a terrible state, with rocks, stones, mud and cars blocking the roads.”The airport in Toulon, closed late on Tuesday because its runways were flooded, reopened on Wednesday morning. Train services along the coast were expected to return to normal on Thursday, railway officials said.Meteo France, which said the region had not seen floods like this since 1827, warned of more storms on Wednesday night.In February, a ferocious storm and surging tide killed 53 people in southwestern France.""


",
62,France,"West Atlantic Coast, Vendee and Charente regions of western France",40237,40239,3,48,500,,,Storm Surge and Heavy Rai,2,,30834.35,,,5.26718604814715,-1.53213,46.7732,"March 2, 2010: ""L’AIGUILLON-SUR-MER, France: Rescuers in boats and helicopters scrambled on Monday to find the missing in homes flooded by a storm that killed at least 48 people on France’s Atlantic coast.France’s west coast was pummeled by the storm dubbed Xynthia, the country’s fiercest in a decade, which unleashed gale force winds and torrential rains on Sunday, prompting the government to declare a national emergency.The toll in France rose to 48 dead and at least nine were reported missing on Monday. More than 200,000 homes were still without power in the deadliest storm to have battered France since 1999, officials said.As fierce weather battered other parts of Europe, at least five people died in neighboring Germany, according to police, three in Spain, one in Portugal and one in Belgium.More than 9,000 French firefighters and emergency workers backed by helicopters were deployed on Monday to try to reach stranded residents, mostly in the Vendee and Charente regions of western France.Rescue teams waded through the thigh-deep floodwaters and took to boats to reach flooded houses whose residents were reported missing in the town of L’Aiguillon-sur-Mer.Hundreds of families slept overnight in shelters set up in schools and dance halls. In Charente, regional authorities warned that a combination of high winds and tides continued to pose a flood risk.The storm hit France early Sunday in the middle of the night with eight-meter waves that sent residents scurrying onto rooftops. The wind reached speeds of 150 kilometers per hour.""









",
63,France,0,39836,39839,4,11,0,,,Heavy Rain,1,,19409.52,,,4.89007478668908,24.9346,47.6062,"Jan. 25: "".Warm weather in northern Romania caused widespread flooding as snow and ice melted earlier than usual. At one point the River Iza was blocked by ice-flows and emergency workers used dynamite to release the dammed up water. Hundreds of homes and farms were flooded. Because the weather temperature increased over the normal in this period of the year, Ice and snow melted quick, so rivers level raised dangerously in the North part of Romania. Army and firemen blow up with dynamite ice floes on the rivers to release the dangerous waters. Some villages were flooded and lots of people lost their good""",
64,France,"Southwestern Germany, Belgium, northern Italy",39600,39602,3,3,0,,,Heavy rain,1,,154307.03,,,5.66550696704762,8.91392,48.0799,,
65,France,Pyrenees-Atlantiques region - Ossau valley - Pau,39227,39229,3,1,500,0,,Heavy rain,1,,3174.16,,,3.97875006918819,-0.472122,43.2956,Storms and flash floods. 1 dead. 500 evacuated. More than 300 homes flooded.,
66,France,Southern France - Perpignan area,38671,38673,3,2,1000,,riverine flood,Heavy rain,1,,1981.92,,,3.77420737496995,3.00636,42.9478,"Heavy rains cause several rivers to overflow. 1,000 evacuated.
MODIS observation of flooding on two rivers north of Perpignan on November 16, 17.",
67,France,Gard and Herault areas. Nimes. Lunel and Montpellier ,38602,38604,3,0,3000,,flash flood,Heavy rain,1,,9814.17,,,4.46897483123215,4.18619,44.0571,"Severe floods cause extensive damage, thousands evacuated. Thousands of houses and businesses were flooded.
MODIS observation of flooding west of lower Rhone river on September 9 near Nimes.",
68,France,"Southern France - Rhone valley - Marseilles and Lyon areas. Bouches-du-Rhone region. Vacluse, Ardeche, Charlieu, Avignon, Orange. Herault, Gard, Arles, Ardeche.
Northeastern Spain - Barcelona area",37956,37965,10,9,27000,29000000,flash flood,Heavy rain,2,,86272.34,,,6.23690157340866,4.94085,44.8217,"200 mm rain in Rhone Valley and Marseilles area since Dec 1. Flood debris close 2 nuclear power plants in Ardeche and Drome regions. Marseille - France's second largest city - declared a natural disaster zone. 
December 3 - Rhone river level was at 6.42 metres, its highest recorded level. Dike breach in Arles on December 4. December 5 - Floods recede in Marseille area but continue in Herault. December 8 - town of Arles still partially inundated.
MODIS observation of high levels in the lower Rhone river and delta on December 4, 7 and 9.
MODIS observation of high levels on the upper Loire river on December 7.",
69,France,"Southern France -  Lunel, area between Montpellier and Nimes.",37886,37887,2,1,30,,,Brief torrential rain,1,,731.057,,,3.16498123557723,4.15721,43.7231,"Lunel town cut off from outside world by 5 inches of rain from a ""freak storm"", streets flooded to 3 feet deep.
MODIS observations of Rhone delta on September 23 and 24 show it is wetter than on September 20, the storm can be seen on September 22.",
70,France,"Between Montpellier and Nîmes, Sommières",37603,37604,2,2,0,,,Heavy rain,1,,1292.7,,,3.41252774447201,4.14588,43.7308,,
71,France,"Southeastern France -  Hyeres, Ain, Southeaast of Lyon. Besancon, Valence area. Rivers: Rhone, Saone and Loire and tributaries. 
",37576,37580,5,1,2500,,,Heavy rain,1,,4834.93,,,4.38336019509551,4.81011,45.038,"""On Saturday, some 2,000 people were evacuated southeast of the city of Lyon as the Rhone, Saone and Loire rivers and their tributaries rose over warning levels""CAUSE:Rain",
72,France,"Rhone valley. Provence. Gard, Herault and Vaucluse departments. Nimes and Avignon areas. Aramon, Sommieres, Rousson. ",37507,37511,5,23,2500,1200000000,riverine flood,Heavy rain,1,,10479.27,,,4.71930103450147,4.44759,44.0345,"""Officials said that up to 600 millimeters of water fell within 24 hours in some areas -- more than the usual total rainfall over six months"" ""Aramon was submerged Monday night, when a dike protecting its 3,600 inhabitants from a nearby tributary of the Rhone River gave way. At least five people were killed in the village, 10 kilometers southwest of the town of Avignon, in the Gard region"" ""In the Gard, 80 percent of vineyards were destroyed and 15 wine production and storage centers were damaged""CAUSE:Rain",
73,France,Northeastern France - Vosges region Germany - Black Forest Region ,37254,37255,2,0,240,,,Brief torrential rain,1,,9379.12,,,4.27319208808648,8.43803,48.1985,"""In other parts of the hard-hit Vosges region, rescue workers in scuba gear worked overnight Saturday to evacuate 60 families from their homes, TF1 and LCI television reported. Flood waters in some towns rose as high as 32 inches""  ""In the Black Forest, rivers burst their banks on Saturday night and water levels reached their highest point for more than a decade"" DISPLACED: France: 240 CAUSE:Storms across Europe ",
74,France,"Drome and Upper Loire regions. Towns: Loriol, communities near the city of Valence. Loire river",37184,37185,2,2,300,,,Heavy rain,1,,3857.12,,,3.88729314620416,4.93584,44.9617,"""More than 300 houses in the town of Loriol in the Drome region were flooded by more than a meter (more than three feet) of water overnight Saturday. The water caused the collapse of several of the 11th century ramparts which protected the town""CAUSE:Violent storms",
75,France,"Somme Region. Towns: Abbeville, Amiens. Somme River ",36988,37013,26,0,1029,,riverine flood,Heavy rain,2,,9209.58,,,5.68024316841997,2.36843,50.0468,"""By Monday afternoon, authorities counted more than 1,260 flooded homes in the hard-hit region of Somme, of which 332 had been evacuated... television showed waterlogged towns in the Somme, where roads and train tracks were submerged under deep waters and pedestrians navigated the streets on makeshift wooden docks."" -- April 27 - ""In the valley the floodwaters are still rising a month after thousands of French families came downstairs to find two feet (60 centimetres) of water sloshing around their living rooms."" 
""floods were the worst to hit the area since 1920"" 
CAUSE:Heavy rainfall - ""the month of April was the wettest the country has experienced since 1873""",
76,France,France - Brittany region: towns of Redon and Caen. -- Belgium - Han-sur-Lesse region: Meuse river and its tributaries.,36896,36898,3,0,80,,flash flood,Brief torrential rain,1,,3926.12,,,4.07108482419185,5.01154,50.3658,"""Water levels in the town of Redon surpassed the 1995 record of 5.35 metres early on Sunday and rose throughout the day to reach 5.40 metres"" CAUSE:Series of rainstorms ",
77,France,"Southwest Regions - Aude, Pyrennees-Orientales, Tarn, Herault; Towns - Toulouse, Narbonne, Nevian, La Bastide-Rouairoux, Davejan",36476,36479,4,27,3000,,flash flood,Brief torrential rain,2,,91886.28,,,5.86634065653782,3.51811,45.2358,Flooding and landslides.,
78,France,Normandy - La Vaupaliere,35595,35598,4,4,0,,,Brief torrential rain,1,,8004.45,,,4.50539148746196,0.929309,49.4622,"10,400 hectares of crops damaged in Punjab.",
79,France,"Southern France: Beziers, Aude, Eastern Pyrenees",35404,35409,6,0,50,,,Heavy Rain,1,,26323.22,,,5.19849026384747,3.51066,43.359,"Train tracks flooded, cutting off transport between Narbonne and Perpignan. Dozens evacuated by helicopter from Bezier's Bas du Faubourg quarter.  Orbe river rose to 12.4 meters.",
80,France,"Languedoc-Roussillon Province - Herault region: Beziers, Puisserguier, Cassenon, Agde, Serignan, Puissalicon, Magalas ",35091,35094,4,4,600,6000000,flash flood,Heavy rain,1,,2139.96,,,3.93246564694742,3.39445,43.4429,"$6 million in damage to roads, schools, and buildings - not including private property.",
81,France,0,34722,34737,16,30,294100,4000000000,,Rain and snowmelt,2,,341156.99,,,7.03810425233046,5.69912,50.3282,"Floods around the Rhine were the worst in a century - reached a record 34 ft 71/3 in in Cologne, Germany.",
82,France,Britanny,34719,34729,11,16,5000,760000000,,Rain and snowmelt,2,,27724.7,,,5.78528953630889,-2.89661,48.1547,Highest rainfall in 150 years.,
83,France,"Southern Germany -- States: Saarland, Rheinland-Palatinate, Baden-Wuerttemberg, Bavaria. Cities: Koblenz, Trier, Saarbruecken, Nuremberg,, Cologne, Bonn, Heidelberg, Bad Kreuznach, Cochem. Rivers: Mosel, Saar, Rhine, Neckar, Aisch, Nahe. -- Northern France - Lorraine and Ardennes. Towns: Givet, Landrichamps, Lille, Picardy, Soissons, Compiegne. Rivers: Muese, Houille, Oise, Moselle, Aisne. Flooding spreads to central France by Dec 29 where the Seine and its tributaries, the Oise and Marne, flood areas around Compiegne and Paris -- Southern Belgium - Provinces: Limburg, Namur province. Sambre valley. Towns: Maaseik, . Rivers: Muese, Sambre. -- Netherlands - Provinces: Limburg and Gelderland. Maastricht, Roermond, Venlo, Rotterdam area. Muese River. -- Czech Republic -- 4 rivers overflow in theWest Bohemia area",34324,34334,11,11,48000,1142000000,riverine flood,Torrential rain,2,,261149.34,,,6.7593116134087,5.76827,50.3802,"Germany ""In Trier, near the border with Luxembourg, Mosel reached 11.28 m, its highest level in 200 yrs."" ""In Saarland the Saar River was 19 ft above normal, highest since devastating flood in May 1970. "" ""In Heidelberg, Neckar river hit its high of the century overnight at 9.8 meters"" ""The Rhine swept to its greatest height in 67 yrs Thursday, flooding Cologne"" -- France ""In Ardennes, N France, the Meuse rose to record levels of 5.05 m, flooding half of Givet, close to the Belgian border, and cutting off neighbouring villages"" -- Belgium ""In southern Belgium - Namur province - Meuse reached highest level this century."" -- Netherlands ""The Rhine reached its highest level this century in Arnhem, breaking a record set in 1926 by 12 cm"" DAMAGE: Germany: 580,000,000  -- France: 510,000,000 -- Netherlands: 52,000,000 FATALITIES: Germany: 4 -- France: 4 -- Belgium: 1 -- Netherlands: 1 -- Czech: 1 DISPLACED: Germany: 25,000 -- France: 8000 -- Belgium: 2000 -- Netherlands: 13,000 CAUSE: Several days of torrential rain and snowmelt",
84,France,Southern Corsica - three villages north of Porto Vecchio. Sainte Lucie and Propriano regions. Bonifacio. Cavo and Conca rivers,34273,34275,3,4,0,,,Torrential rain,1,,1692.24,,,3.70558321110831,9.06044,41.5666,"""The Cavo and Conca rivers cut off roads, knocked out electricity and flooded dozens of houses in three villages north of Porto Vecchio, on the southern end of this French Mediterranean island"" CAUSE:Flash floods ",
85,France,"France - Five provinces along Mediterranean coast. Regions: Bouches-du-Rhone, Vaucluse, Savoie, Drome. Towns: Vaison-la-Romaine, Marseille, Aix-en-Provence, Pertuis, Toulouse, Saint-Jean-de-Maurienne, Valreas, Bollene. Rivers: Arc, Garonne, Lez, Rhone. -- Italy - Regions: Liguria, Piedmont, Lombardy and Valle d'Aosta. Genoa area. Areas of Como and Maggore Lakes. Udine city, Ivrea, Saona, Como, Turin, Valle d'Aosta, Aosta, Piedmont, Livorno. -- Switzerland - town of Brig near Italian border; Lake Maggiore in Locarno and Ascona.",34234,34250,17,17,1700,880000000,,Torrential rain,2,,51313.99,,,6.24171470226111,7.36304,45.1072,"France -""the storm has hit five provinces, especially in areas along the coast of the mediterranean. the report said that the storm had brought flooding and roads and bridges had been severely damaged.""  -- ""Heavy rain cut off tunnels and roads at the Italian border and flooded Alpine villages, forcing hundreds from their homes"" DAMAGE: France: 87,700,000 -- Italy: 3,000,000 FATALITIES: France: 12 -- Italy: 14 -- Switzerland: 1 DISPLACED: France: 1700CAUSE:Series of thunderstorms, heavy rain in the Alps. ",
86,France,"France: Riviera, Nice, Monaco
Italy: Piemonte, Veneto, Lazio, Campania, Genoa
Northeastern Spain",33875,33885,11,12,120,,riverine flood,Heavy rain,1,,135575.31,,,6.17357329130378,11.2843,42.7699,,
87,France,"Southern France and Corsica: Languedoc-Roussillon Province - Aude Region, Pyreness-Orientales Region, Rennes-les-Bains",33874,33874,1,3,0,,,Heavy rain,1,,23383.79,,,4.3689149021505,2.93545,43.1605,,
88,France,"Southeast Provinces - Alpes Cote d'Azur, Rhone Alpes (Vaison-la-Romaine, Auvignon, Gigondas)",33869,33869,1,38,2000,,,Torrential rain,2,,22746.16,,,4.65793808537922,5.83747,44.5158,Deadliest in 34 years.,
89,France,"Var region, Alpes-Maritimes",33164,33165,2,1,0,,,Heavy rain,1,,9563.94,,,4.28166683854157,6.20383,43.5014,Scores of homes damaged.,
90,France,"French Alps - Tignes, Val d'Isere",32919,32921,3,14,0,,landslide,Avalanche related,1,,9561.69,,,4.45765591402591,6.48067,45.6107,,
91,France ,Gard Region. Brignon village.,37171,37171,1,2,0,,,Brief torrential rain,1,,4136.26,,,3.61660783013819,4.37317,43.9695,"""the southern region of Gard received as much rain within an eight-hour period as it usually does in six months. Some 40 villages and hundreds of hectares (acres) of farmland and vineyard were flooded""CAUSE:Flash floods caused by severe thunderstorms ",
92,France ,"Regions: Calvados and Seine-Maritime in Normandy, Meuse, Haute-Marne, Rhone, Saone-et-Loire, Doubs, Burgundy, Eure, Oise, Brittany. Cities/towns: Macon, Ile-de-France and Yvelines around Paris, Evreux, Lyon, Grainville-le-Teinturiere, Ille-et-Vilaine, Saint-Valery-en-Caux, Elbeuf, Redon. Rivers: Saone, Seine, Rhone-Saone, Avre, Iton.",36971,36978,8,0,1400,,riverine flood,Heavy rain,1,,78097.03,,,5.79572450513125,4.2198,47.6793,"""The area around Paris was particularly hard-hit as the Seine flooded towns and villages. Residents in many areas were forced to move around in boats. In central France, 18 villages around the city of Lyon were flooded as the Rhone-Saone River burst its banks"" 
""rain levels over the past few months were two to three times as high as in other years"" 
CAUSE:Record rains in the month of March ",
93,France ,Departement of Herault . Cities: Marseille and Montpellier ,36788,36789,2,6,0,,,Heavy rain,1,,18172.83,,,4.56045255960825,4.40411,43.8005,"""more than 20 centimetres (eight inches) of rain fell between 6:00 p.m. and 11:00 p.m. in an area where annual rainfall is normally 70 centimetres"" CAUSE:Severe rainstorm causing flash floods ",
94,France ,Loire and Beaujolais areas. Town of Jassans. Rhone River at Villefranche-sur-Saone in Rhone region. The Vienne river spilled its banks at Limoges. Lot River at Villeneuve-sur-Lot.,34156,34156,1,2,100,,,Torrential rain,1,,2738.14,,,3.43745564966834,4.60164,45.7497,"""Torrential rains and egg-sized hail pummeled southwestern France Monday night and early today, flooding rivers, sweeping away campsites, damaging the Beaujolais vineyards and killing two people. "" CAUSE:Torrential rains",
95,France ,"Gard Region, Nimes city ",32419,32419,1,10,300,,flash flood,Torrential rain,1,,716.771,,,2.85538042579085,4.3611,43.8055,"""normal life in the metropolis of bombay was crippled for the second time within a span of six days as suburban trains on both the central and western railway were affected due to flooding of tracks... it was reported that hutment dwellers in low-lying areas of the city like bombay, chembur, sion and gowandi were being shifted to safer places"" CAUSE:Heavy rain ",
96,Germany,"Including Prague, Budapest, other major cities; Danube, Elbe, and other rivers",41422,41443,22,8,3000,,riverine flood,Heavy Rain,2,,241203.7,,,7.02583664196615,12.1089,49.1358,"June 17, 2013: ""Three large barges were sunk over the weekend in a desperate effort to plug a massive breach in an Elbe River dike just east of Berlin. The operation became necessary due to continued flooding of several villages behind the break. It appears to have been successful.The fight against the record floods that have struck Germany over the last two weeks is largely over, with rivers having returned to their banks and clean-up well underway. But in one part of the eastern state of Saxony-Anhalt, the battle continued over the weekend -- and it was one in which authorities were forced to come up with an unorthodox method to plug a breach in an Elbe River dike just east of Berlin.On Saturday, two barges were sunk using explosives at a gap in a levee in an attempt to stop floodwaters from continuing to flow into the countryside. On Sunday, an additional barge was sunk at the site to block up the final 20 meters (66 feet) of the 90 meter breach. Helicopters carrying oversized sandbags and pieces of concrete then filled in around the sunken boats. Officials on Sunday evening said that the gap had been 80 percent sealed as a result of the operation.
The spectacular fix became necessary after the dike gave way last week, flooding several small towns behind the dike and resulting in thousands of people being evacuated. Now that the water has ceased flowing from the swollen Elbe through the gap in the levee, the flooded area behind it has begun to slowly shrink. Still, some 145 square kilometers of land (56 square miles) remain under water.
It was the first time ever in Germany that sunken ships were used to plug a hole in a dike. The barges were carefully maneuvered into place before explosives on board were detonated so as to ground the craft. Then, several helicopters began flying gigantic sacks of sand to the site to prevent the barges from drifting away.""It was an extremely difficult and risky operation,"" Saxony-Anhalt Governor Reiner Haselhoff told German news agency DPA. ""But we had to do something and to try everything in our power to stop the water.""
Captain Thomas Peter, who maneuvered the barges into position, said: ""We'd never done such a thing before. But we're not crazy. We were able to half-way assess the situation.""Elsewhere on the Elbe River on Monday, officials reported that water levels were well down from their peaks and were continuing to drop."" May 23, 2013: ""Worst floods in a decade hit Czech Republic* Six killed in Czech Republic, two dead in Austria* Flooding also affects Germany, Austria, Slovakia* German Chancellor Merkel to visit flooded area* Insurers brace for big compensation payouts By Jason Hovet and Jana Mlcochova. PRAGUE, June 3 (Reuters) - Volunteers piled up sandbags to keep a swollen river from overwhelming the Czech capital's historic centre on Monday after floods across central Europe forced factories to closed, drove thousands from their homes and killed at least eight people.Six people died in the Czech Republic from the worst flooding in a decade and a state of emergency was declared, while in Austria two people died and another two were missing.The flooding, which also affected parts of Germany, Slovakia, Hungary and Poland, sent shares in reinsurers Munich Re and Hannover Re down by about 2.5 percent, with markets anticipating big claims from property owners once the waters recede.The flooding arose from several days of torrential rainfall. In some places two months worth of rain fell in just a few days.Carmaker Volkswagen temporarily shut its plant in Zwickau, in the eastern German state of Saxony, because the flooding stopped workers reaching the factory.In the centre of the west German town of Passau, people took off their shoes and rolled up their trousers to walk through the ankle-deep water.The last time central Europe saw similar floods was in 2002, when 17 people were killed in the Czech Republic, and damage estimated at 20 billion euros ($26 billion) was inflicted.Officials in Prague, the Czech capital listed by the U.N. cultural agency as a World Heritage Site, said they did not anticipate the waters of the Vltava river would reach 2002 levels.But they were taking no chances. They shut the metro system and, in streets near the river, soldiers put up metal fences - the sort of flood defences ordered after the disaster 11 years ago. Elsewhere, volunteers built walls of sandbags.Tigers at Prague zoo were tranquilised and moved out of an enclosure at risk from flooding.Czech officials said the flood defences in Prague should hold, but that the river level was likely to rise again on Tuesday morning. ""The story is not yet over here,"" said Czech Environment Minister Tomas Chalupa.CAFES SUBMERGED The Charles Bridge, a favourite spot for tourists that dates to the 14th century, was closed. Tree trunks floated by in the muddy brown water. A riverside path that is below street level, is usually populated with cyclists and people sitting at cafes, was under water on Monday.
""We left England yesterday and it was sunny and warm. We didn't expect this, we don't even have our raincoats,"" said British tourist Alison Tadman, who came to Prague with her husband, Adrian, to celebrate her 47th birthday.She and her husband were sheltering in a McDonald's restaurant. ""We're pretty disappointed,"" she said.

Some of the worst flooding was around the Danube river, which starts in Germany and winds its way through countries including Austria, Slovakia and Hungary on its way to the Black Sea. The river was swollen by heavy rain at the weekend.In Germany, the interior minister flew to flood-hit regions on Monday and Chancellor Angela Merkel was preparing to go on Tuesday, government spokesman Steffen Seibert said.How her government responds to the emergency could have some bearing on the outcome of a nationwide election in September.Shipping was stopped on parts of the Danube and Rhine rivers in Germany, and along the entire Austrian stretch of the Danube, because of the high waters. The rivers are important arteries for moving grains, coals and other commodities.

Thousands of people living in low-lying areas in Austria and the Czech Republic had to be evacuated from their homes. In the Austrian town of Schaerding, a duck swam across a road intersection, past the gates of a flooded cemetery.The flooding killed five people in the Czech Republic over the weekend and on Monday the death toll went up to six - a worker electrocuted while trying to switch off a flooded electricity transformer 50 km (30 miles) east of Prague, the Czech news agency CTK reported.In the Austrian city of Salzburg, 160 passengers were put up overnight in army barracks after the floods stranded their train. Austrian Foreign Minister Michael Spindelegger told reporters the situation in some areas was ""very fraught.""The risk on Monday was that the flood danger could follow the course of the Danube river downstream to other European countries along its route.Workers erected flood barriers along the banks of the Danube where it passes through the Slovak capital, Bratislava, and police shut several roads.""We are getting bad news from Germany and Austria. We have to do all we can to protect ... the capital,"" Slovak Prime Minister Robert Fico said.In Hungary, whose capital Budapest also sits on the banks of the Danube, state media quoted Gyorgy Bakondi, head of the National Disaster Authority, as saying that 400 people were working on flood defences.He said water levels in the river could reach or even exceed the height seen in the record flooding in 2002.Some climate scientists cited a possible link between extreme weather such as flooding and climate change. The warmer the air, the more moisture it holds. A study last year by a United Nations panel of scientists said heavy rainfalls will become more common in this century. BERLIN — Raging waters from three rivers have flooded large parts of the southeast German city of Passau following days of heavy rainfall in central Europe.A spokesman for the city's crisis center said Monday that the situation was ""extremely dramatic"" and waters are expected to rise further by midday to their level highest in 70 years.
Herbert Zillinger told The Associated Press that much of the city was inaccessible except by boat and electricity supplies have been shut off as a precaution.At least four people have reportedly died and nine are missing due to floods in Germany, Austria, Switzerland and the Czech Republic in recent days.",
97,Germany,"Western Germany, Rhineland-Palatinate",40550,40553,4,0,0,,riverine flood,Heavy Rain,1,,17419.69,,,4.8431004133838,7.63154,50.3468,"January 9, 2011: ""BERLIN – Rivers in western Germany are overflowing their banks due to pouring rain and melting snow, flooding many roads and parts of several villages.Authorities in Rhineland-Palatinate, the worst-hit state, said Sunday the wine towns of Cochem and Zell along the Mosel River were partly inundated and dozens of basements had filled up with water.German news agency DAPD reported that the Rhine River had also dangerously swollen and many roads in the Rhine Valley were closed. Part of the city of Konstanz was inundated and commercial shipping was banned on the Rhine up to the city of Cologne.
DAPD, however, quoted meteorologists in Trier as saying the swelling of the Mosel, a tributary of the Rhine, was not unusual and was likely to pass without causing major damage.""

",
